method,dist,shape,mode,classification,deterministic,all_codes_eq_q0,final_linf,final_code_change_pct,min_cos,compression_ratio,lat_q_ms,lat_d_ms
symmetric_int4,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999548132335682,8.0,5.161155999985567,2.5679390000732383
symmetric_int4,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.21920299991506909,0.02468799993948778
symmetric_int4,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.19009400011782418,0.028423000003385823
symmetric_int4,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999995662070051,8.0,0.1814570000533422,0.042656000005081296
symmetric_int4,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,0.9999995662070051,8.0,0.3125550001641386,0.0671139998758008
symmetric_int4,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000030604112948,8.0,3.3204249998561863,1.1964800000896503
symmetric_int4,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000030604112948,8.0,4.518597000014779,1.4790070001708955
symmetric_int4,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999938204355906,8.0,0.326565000023038,0.026176999881499796
symmetric_int4,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999938204355906,8.0,0.13717199999518925,0.023768000119162025
symmetric_int4,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000337115733775,8.0,0.17783500015866593,0.08861500009516021
symmetric_int4,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000337115733775,8.0,0.19288999988020805,0.05395300013333326
symmetric_int4,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9995324729716186,8.0,5.89707900007852,2.702172999988761
symmetric_int4,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9995324729716186,8.0,5.305781000060961,2.528482000116128
pot_int4,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998906057586,8.0,0.3092920001108723,0.019815000086964574
pot_int4,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999998906057586,8.0,0.19239800008108432,0.02358300002924807
pot_int4,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.33787799998208357,0.05281300013848522
pot_int4,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.2842060000602942,0.03394399982425966
pot_int4,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000001100398246,8.0,6.759520000059638,1.304223000033744
pot_int4,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000001100398246,8.0,8.429017000025851,1.2984579998374102
pot_int4,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000638443098,8.0,0.28031199985889543,0.02944199991361529
pot_int4,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000000638443098,8.0,0.17772900014279003,0.024171999939426314
pot_int4,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000631588775,8.0,0.1376430000163964,0.029722999897785485
pot_int4,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000000631588775,8.0,0.22945499995330465,0.04956099996888952
pot_int4,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000000639773694,8.0,2.466453999886653,0.8992369998850336
pot_int4,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000000639773694,8.0,5.4227169998739555,2.5837129999217723
pot_int4,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999207335696,8.0,0.2718739999636455,0.026865999871006352
pot_int4,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999999207335696,8.0,0.1749269999891112,0.022956999828238622
pot_int4,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.1651939999192109,0.04015000013168901
pot_int4,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.2623939999466529,0.03182599994033808
pot_int4,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999999038721915,8.0,3.3949930000289896,1.1862130002100457
pot_int4,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999999038721915,8.0,4.760695999948439,1.4982540001255984
pot_int4,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.38480599982904096,0.026781999849845306
pot_int4,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.2605550000680523,0.023922999844216974
pot_int4,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,8.0,0.25235099997189536,0.08380000008401112
pot_int4,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,8.0,0.3144009999687114,0.11076300006607198
pot_int4,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999998931979139,8.0,5.764654999893537,2.561708000030194
pot_int4,rope,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999998931979139,8.0,5.708790999960911,2.6309349998427933
affine_int2,normal,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000002538115239,16.0,0.36343400006444426,0.03142600007777219
affine_int2,normal,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000002538115239,16.0,0.22470200019597542,0.024957000050562783
affine_int2,normal,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000062566079497,16.0,0.2782180001759116,0.07802800018907874
affine_int2,normal,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000062566079497,16.0,0.356882999994923,0.08888900015335821
affine_int2,normal,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999696777967189,16.0,8.879342000000179,3.280994999840914
affine_int2,normal,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999696777967189,16.0,10.050146999901699,3.1581870000536583
affine_int2,heavy,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000000166337374,16.0,0.2942640001037944,0.025585000003047753
affine_int2,heavy,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.000000166337374,16.0,0.22716200010108878,0.02675099995030905
affine_int2,heavy,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000005322155388,16.0,0.18595400001686357,0.05663399997501983
affine_int2,heavy,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000005322155388,16.0,0.29678800001420313,0.0567679999221582
affine_int2,heavy,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000059195222826,16.0,2.930578999894351,3.5200840000015887
affine_int2,heavy,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,1.0000059195222826,16.0,7.314769999993587,3.2597069998701045
affine_int2,outlier,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999997917166547,16.0,0.28398600011314556,0.024318999976458144
affine_int2,outlier,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,0.9999997917166547,16.0,0.20405600002959545,0.021822999997311854
affine_int2,outlier,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0,16.0,0.26232300001538533,0.06724099989696697
affine_int2,outlier,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0,16.0,0.3438989999722253,0.0778959999934159
affine_int2,outlier,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,0.9999953537412776,16.0,5.245307999985016,1.351322000118671
affine_int2,outlier,llm_h8_s2048_d128,recomputed,PASS,True,True,0.0,0.0,0.9999953537412776,16.0,6.267854000043371,1.2819270000363758
affine_int2,rope,sanity_2x8x16x64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000017102501755,16.0,0.3933380000944453,0.029799000003549736
affine_int2,rope,sanity_2x8x16x64,recomputed,PASS,True,True,0.0,0.0,1.0000017102501755,16.0,0.21826500005772687,0.022047000129532535
affine_int2,rope,llm_h8_s128_d64,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.0000021715450254,16.0,0.19316799989610445,0.11427799995544774
affine_int2,rope,llm_h8_s128_d64,recomputed,PASS,True,True,0.0,0.0,1.0000021715450254,16.0,0.34390400014672196,0.05880100002286781
affine_int2,rope,llm_h8_s2048_d128,frozen,PASS-WITH-FROZEN-METADATA,True,True,0.0,0.0,1.000156313270983,16.0,7.7288950001275225,3.4635300000900315
